Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,5.46999979019165,5.619999885559082,5.449999809265137,5.590000152587891,3.6685919761657715,601500
2017-01-04,5.570000171661377,5.599999904632568,5.519999980926514,5.590000152587891,3.6685919761657715,368600
2017-01-05,5.590000152587891,5.590000152587891,5.539999961853027,5.590000152587891,3.6685919761657715,278700
2017-01-06,5.559999942779541,5.599999904632568,5.539999961853027,5.590000152587891,3.6685919761657715,194200
2017-01-09,5.559999942779541,5.590000152587891,5.519999980926514,5.570000171661377,3.655465841293335,183700
2017-01-10,5.559999942779541,5.579999923706055,5.519999980926514,5.579999923706055,3.662029266357422,296600
2017-01-11,5.590000152587891,5.590000152587891,5.53000020980835,5.579999923706055,3.662029266357422,315800
2017-01-12,5.550000190734863,5.579999923706055,5.519999980926514,5.53000020980835,3.6292150020599365,152200
2017-01-13,5.559999942779541,5.639999866485596,5.539999961853027,5.639999866485596,3.7014050483703613,195000
2017-01-17,5.610000133514404,5.630000114440918,5.579999923706055,5.619999885559082,3.688279628753662,234700
2017-01-18,5.599999904632568,5.619999885559082,5.579999923706055,5.610000133514404,3.6817171573638916,207900
2017-01-19,5.590000152587891,5.619999885559082,5.539999961853027,5.550000190734863,3.642340898513794,138200
2017-01-20,5.570000171661377,5.579999923706055,5.550000190734863,5.579999923706055,3.662029266357422,137700
2017-01-23,5.579999923706055,5.590000152587891,5.539999961853027,5.559999942779541,3.6489033699035645,167800
2017-01-24,5.579999923706055,5.599999904632568,5.559999942779541,5.590000152587891,3.6685919761657715,141200
2017-01-25,5.579999923706055,5.610000133514404,5.579999923706055,5.599999904632568,3.675154447555542,154900
2017-01-26,5.599999904632568,5.619999885559082,5.579999923706055,5.619999885559082,3.688279628753662,145200
2017-01-27,5.619999885559082,5.630000114440918,5.570000171661377,5.599999904632568,3.675154447555542,234200
2017-01-30,5.570000171661377,5.579999923706055,5.510000228881836,5.53000020980835,3.6292150020599365,228700
2017-01-31,5.539999961853027,5.559999942779541,5.519999980926514,5.550000190734863,3.642340898513794,198700
2017-02-01,5.539999961853027,5.650000095367432,5.53000020980835,5.619999885559082,3.688279628753662,320900
2017-02-02,5.619999885559082,5.670000076293945,5.590000152587891,5.650000095367432,3.7079691886901855,302700
2017-02-03,5.659999847412109,5.670000076293945,5.639999866485596,5.639999866485596,3.7014050483703613,93300
2017-02-06,5.610000133514404,5.630000114440918,5.599999904632568,5.599999904632568,3.675154447555542,138800
2017-02-07,5.599999904632568,5.650000095367432,5.579999923706055,5.619999885559082,3.688279628753662,192900
2017-02-08,5.630000114440918,5.630000114440918,5.570000171661377,5.579999923706055,3.662029266357422,198300
2017-02-09,5.579999923706055,5.619999885559082,5.570000171661377,5.619999885559082,3.688279628753662,179900
2017-02-10,5.610000133514404,5.659999847412109,5.610000133514404,5.650000095367432,3.7079691886901855,172800
2017-02-13,5.650000095367432,5.710000038146973,5.639999866485596,5.690000057220459,3.734219551086426,140900
