,tick,RMSE,MAPE,TA
0,AAPL,4.610725686964054,2.9472358547152337,66.66666666666667
1,CRM,12.586031281963258,3.5495216034610992,56.666666666666664
2,EOD,0.09961158351229701,1.8869278966166227,33.333333333333336
3,EXPE,8.041617528426606,6.176494162231084,43.333333333333336
4,HFC,1.8415124109432965,5.476155188583089,63.333333333333336
5,LB,2.114319672612516,6.338260442142171,40.0
6,MCHP,4.9387380051491245,3.217540750055657,30.0
7,NOW,37.004027041894865,6.934047260599022,36.666666666666664
8,NRG,1.5190413967430014,3.493922605237121,20.0
9,PXD,6.3213427800414905,5.4048425709760455,40.0
