,Date,Open,High,Low,Close,Adj Close,Volume,macd,macd_signal_line,macd_hist,rsi,cci,adx,+DI,-DI,trend
0,2017-01-19,15.170000076293945,15.56999969482422,15.109999656677244,15.5600004196167,14.709909439086914,13204100,0.27305394830266216,0.1652967263572221,0.10775722194544007,95.83774015722211,112.38578879931,99.37029167863791,54.01136627038089,0.5868086382791788,0.0
1,2017-01-20,15.68000030517578,16.40999984741211,15.65999984741211,16.110000610351562,15.229862213134766,8393900,0.3291036566663603,0.1999639639614879,0.1291396927048724,97.05235805496258,133.2284009369651,99.14236004732895,65.20277947971437,0.46406683671073123,0.0
2,2017-01-23,16.209999084472653,16.5,15.890000343322756,16.209999084472653,15.324397087097168,5812700,0.37257876918915045,0.23607511000573927,0.13650365918341117,97.22879553122326,122.5825671988663,98.99815825134512,57.27901691368008,0.39099909029613955,0.0
3,2017-01-24,16.319999694824222,16.620000839233402,16.200000762939453,16.370000839233402,15.475658416748047,6634400,0.4101065454750792,0.27215069386544916,0.13795585160963003,97.51445602284659,114.48464076252944,98.91904826427827,53.408313849764355,0.3429965016168648,0.0
4,2017-01-25,16.389999389648438,16.559999465942386,16.309999465942386,16.440000534057614,15.541831970214846,5031100,0.43767325575045746,0.3062140031615311,0.13145925258892638,97.64206077902543,99.94155227555301,98.86289208826182,48.38860687253928,0.3107591623671523,0.0
5,2017-01-26,16.459999084472653,16.639999389648438,16.329999923706055,16.459999084472653,15.56073760986328,4412700,0.45450282695182587,0.33655498611725737,0.1179478408345685,97.68284425633772,90.52926570175799,98.84113220595405,45.47201375281861,0.2774517085638884,0.0
6,2017-01-27,16.40999984741211,16.600000381469727,16.309999465942386,16.450000762939453,15.551286697387695,3317600,0.46118158953865773,0.36193755857702353,0.0992440309616342,96.67962369409366,81.77505683091385,98.0216234486135,40.68295865840758,0.8340225069021484,1.0
7,2017-01-30,16.399999618530273,16.420000076293945,16.020000457763672,16.260000228881836,15.399752616882324,4848300,0.4485165243413185,0.3795065475448222,0.06900997679649629,78.333831612051,59.647161798162,86.71869177025143,35.31152981712757,9.230420349286272,1.0
8,2017-01-31,16.180000305175778,16.579999923706055,16.180000305175778,16.540000915527347,15.664937973022461,3836500,0.4515942602725733,0.3940922518114608,0.05750200846111253,83.77762349157891,67.0228882854593,79.94393658854733,35.566206662583596,8.060804822158868,0.0
9,2017-02-01,16.489999771118164,16.600000381469727,16.180000305175778,16.34000015258789,15.475520133972168,3379100,0.43532774605852786,0.40241612483859096,0.032911621219936904,68.93212266464927,55.387157290363184,75.27311152322677,31.5192065297427,7.009159812540752,1.0
